Model,Context Window,Creator,Intelligence Index,TPS,Speed(median token/s),Latency,Provider_Group,Sequence_Step
Apriel-v1.6-15B-Thinker,128k,ServiceNow,28,0.0,148,0.28,Apriel-v1.6-15B-Thinker,4900
Qwen3 VL 235B A22B,262k,Alibaba,27,2.63,43,1.11,Qwen3,5000
Magistral Medium 1.2,128k,Mistral,27,2.75,36,0.48,Magistral,5100
DeepSeek R1 0528,128k,DeepSeek,27,2.36,0,0.0,DeepSeek,5200
GPT-5 nano (high),400k,OpenAI,27,0.14,119,111.22,GPT-5,5300
Qwen3 Next 80B A3B,262k,Alibaba,27,1.88,177,1.07,Qwen3,5400
Grok Code Fast 1,256k,xAI,"26
E",0.53,209,8.78,Grok,5500
Nova 2.0 Lite (low),1m,Amazon,25,0.85,237,7.34,Nova,5600
Qwen3 Coder 480B,262k,Alibaba,25,3.0,48,1.72,Qwen3,5700
gpt-oss-20B (high),131k,OpenAI,25,0.1,254,0.47,gpt-oss-20B,5800
NVIDIA Nemotron 3 Nano,1m,NVIDIA,25,0.1,177,0.31,NVIDIA,5900
Qwen3 235B 2507,256k,Alibaba,24,1.23,40,1.08,Qwen3,6000
HyperCLOVA X SEED Think (32B),128k,Naver,24,0.0,0,0.0,HyperCLOVA,6100
Motif-2-12.7B,128k,Motif Technologies,"24
E",0.0,0,0.0,Motif-2-12.7B,6200
Nova 2.0 Omni (low),1m,Amazon,24,0.85,0,0.0,Nova,6300
gpt-oss-120B (low),131k,OpenAI,24,0.26,307,0.46,gpt-oss-120B,6400
GLM-4.6V,128k,Z AI,24,0.45,54,0.7,GLM-4.6V,6500
Grok 4.1 Fast,2m,xAI,23,0.28,130,0.84,Grok,6600
GLM-4.5-Air,128k,Z AI,23,0.42,97,0.56,GLM-4.5-Air,6700
Mi:dm K 2.5 Pro,128k,Korea Telecom,23,0.0,0,0.0,Mi:dm,6800
K-EXAONE,256k,LG AI Research,23,0.0,106,0.31,K-EXAONE,6900
Nova 2.0 Pro Preview,256k,Amazon,23,3.44,163,0.48,Nova,7000
Qwen3 4B 2507,262k,Alibaba,"23
E",0.0,0,0.0,Qwen3,7100
Grok 4 Fast,2m,xAI,23,0.28,142,0.58,Grok,7200
Qwen3 30B A3B 2507,262k,Alibaba,23,0.75,161,0.99,Qwen3,7300
Magistral Small 1.2,128k,Mistral,"23
E",0.75,205,0.33,Magistral,7400
Mistral Large 3,256k,Mistral,22,0.75,49,0.52,Mistral,7500
INTELLECT-3,131k,Prime Intellect,22,0.42,85,0.57,INTELLECT-3,7600
Gemini 2.5 Flash-Lite (Sep),1m,Google,22,0.17,550,4.22,Gemini,7700
Devstral 2,256k,Mistral,22,0.0,51,0.45,Devstral,7800
Hermes 4 405B,128k,Nous Research,"22
E",1.5,34,0.81,Hermes,7900
Mistral Medium 3.1,128k,Mistral,21,0.8,98,0.4,Mistral,8000
gpt-oss-20B (low),131k,OpenAI,21,0.1,252,0.55,gpt-oss-20B,8100
K2-V2 (high),512k,MBZUAI Institute of Foundation Models,21,0.0,0,0.0,K2-V2,8200
Qwen3 VL 235B A22B,262k,Alibaba,21,1.23,35,1.08,Qwen3,8300
Ring-flash-2.0,128k,InclusionAI,"21
E",0.25,80,1.4,Ring-flash-2.0,8400
Hermes 4 70B,128k,Nous Research,"20
E",0.2,81,0.6,Hermes,8500
Qwen3 Next 80B A3B,262k,Alibaba,20,0.88,170,1.13,Qwen3,8600
Llama Nemotron Ultra,128k,NVIDIA,"20
E",0.9,38,0.72,Llama,8700
Qwen3 Coder 30B A3B,262k,Alibaba,20,0.9,99,1.48,Qwen3,8800
Ling-flash-2.0,128k,InclusionAI,"20
E",0.25,56,1.5,Ling-flash-2.0,8900
Gemini 2.5 Flash-Lite (Sep),1m,Google,20,0.17,429,0.33,Gemini,9000
Qwen3 VL 30B A3B,256k,Alibaba,20,0.75,103,0.91,Qwen3,9100
Ling-1T,128k,InclusionAI,19,0.0,0,0.0,Ling-1T,9200
Devstral Small 2,256k,Mistral,19,0.0,197,0.35,Devstral,9300
Llama Nemotron Super 49B v1.5,128k,NVIDIA,19,0.17,77,0.22,Llama,9400
Nova Premier,1m,Amazon,19,5.0,80,0.8,Nova,9500
K2-V2 (medium),512k,MBZUAI Institute of Foundation Models,19,0.0,0,0.0,K2-V2,9600
Devstral Medium,256k,Mistral,19,0.8,112,0.43,Devstral,9700
Llama 4 Maverick,1m,Meta,19,0.46,136,0.46,Llama,9800
Llama 3.3 Nemotron Super 49B,128k,NVIDIA,"18
E",0.0,0,0.0,Llama,9900
Nova 2.0 Lite,1m,Amazon,18,0.85,222,0.52,Nova,10000
GLM-4.6V,128k,Z AI,17,0.45,64,0.89,GLM-4.6V,10100
ERNIE 4.5 300B A47B,131k,Baidu,"17
E",0.48,27,1.88,ERNIE,10200
Hermes 4 405B,128k,Nous Research,"17
E",1.5,31,0.72,Hermes,10300
Qwen3 VL 32B,256k,Alibaba,17,1.23,46,0.96,Qwen3,10400
EXAONE 4.0 32B,131k,LG AI Research,17,0.7,101,0.31,EXAONE,10500
Nova 2.0 Omni,1m,Amazon,17,0.85,226,0.71,Nova,10600
Qwen3 VL 8B,256k,Alibaba,17,0.66,65,0.95,Qwen3,10700
Olmo 3 7B Think,66k,Allen Institute for AI,"17
E",0.14,107,0.52,Olmo,10800
DeepSeek R1 0528 Qwen3 8B,33k,DeepSeek,"16
E",0.07,68,1.18,DeepSeek,10900
Qwen3 VL 30B A3B,256k,Alibaba,16,0.35,98,0.91,Qwen3,11000
Ministral 14B (Dec '25),256k,Mistral,16,0.2,144,0.3,Ministral,11100
Qwen3 4B 2507,262k,Alibaba,"16
E",0.0,0,0.0,Qwen3,11200
Falcon-H1R-7B,256k,TII UAE,16,0.0,0,0.0,Falcon-H1R-7B,11300
DeepSeek R1 Distill Llama 70B,128k,DeepSeek,"16
E",0.88,42,0.82,DeepSeek,11400
Qwen3 Omni 30B A3B,66k,Alibaba,16,0.43,97,0.95,Qwen3,11500
Devstral Small,256k,Mistral,15,0.15,228,0.36,Devstral,11600
Solar Pro 2,66k,Upstage,15,0.0,0,0.0,Solar,11700
Qwen3 30B A3B 2507,262k,Alibaba,15,0.35,76,1.02,Qwen3,11800
NVIDIA Nemotron Nano 9B V2,131k,NVIDIA,15,0.07,100,0.23,NVIDIA,11900
Llama Nemotron Super 49B v1.5,128k,NVIDIA,15,0.17,69,0.22,Llama,12000
Ling-mini-2.0,131k,InclusionAI,"15
E",0.12,182,1.49,Ling-mini-2.0,12100
K2-V2 (low),512k,MBZUAI Institute of Foundation Models,15,0.0,0,0.0,K2-V2,12200
Mistral Small 3.2,128k,Mistral,15,0.15,96,0.3,Mistral,12300
Qwen3 VL 4B,256k,Alibaba,"15
E",0.0,0,0.0,Qwen3,12400
Ministral 8B (Dec '25),256k,Mistral,15,0.15,194,0.28,Ministral,12500
Llama 3.3 70B,128k,Meta,15,0.64,107,0.47,Llama,12600
NVIDIA Nemotron Nano 12B v2 VL,128k,NVIDIA,15,0.3,129,0.21,NVIDIA,12700
Qwen3 VL 8B,256k,Alibaba,15,0.31,110,0.9,Qwen3,12800
Llama 3.1 Nemotron Nano 4B v1.1,128k,NVIDIA,"14
E",0.0,0,0.0,Llama,12900
Kimi Linear 48B A3B Instruct,1m,Kimi,"14
E",0.0,0,0.0,Kimi,13000
Reka Flash 3,128k,Reka AI,"14
E",0.35,49,1.3,Reka,13100
Llama 3.3 Nemotron Super 49B,128k,NVIDIA,"14
E",0.0,0,0.0,Llama,13200
Llama 3.1 405B,128k,Meta,14,4.19,25,0.68,Llama,13300
Qwen3 VL 4B,256k,Alibaba,"14
E",0.0,0,0.0,Qwen3,13400
Solar Pro 2,66k,Upstage,14,0.0,0,0.0,Solar,13500
Llama 4 Scout,10m,Meta,14,0.28,117,0.42,Llama,13600
Llama 3.1 Nemotron 70B,128k,NVIDIA,14,1.2,40,0.28,Llama,13700
Hermes 4 70B,128k,Nous Research,"14
E",0.2,72,0.57,Hermes,13800
NVIDIA Nemotron 3 Nano,1m,NVIDIA,14,0.1,171,0.32,NVIDIA,13900
Command A,256k,Cohere,13,4.38,58,0.3,Command,14000
NVIDIA Nemotron Nano 9B V2,131k,NVIDIA,13,0.1,109,0.41,NVIDIA,14100
Phi-4,16k,Microsoft Azure,"13
E",0.22,7,0.76,Phi-4,14200
Qwen3 1.7B,32k,Alibaba,"13
E",0.4,126,0.9,Qwen3,14300
Jamba Reasoning 3B,262k,AI21 Labs,"13
E",0.0,0,0.0,Jamba,14400
R1 1776,128k,Perplexity,"12
E",0.0,0,0.0,R1,14500
Llama 3.2 90B (Vision),128k,Meta,"12
E",0.72,41,0.33,Llama,14600
Ministral 3B (Dec '25),256k,Mistral,12,0.1,298,0.27,Ministral,14700
EXAONE 4.0 32B,131k,LG AI Research,12,0.7,87,0.31,EXAONE,14800
Nova Micro,130k,Amazon,"12
E",0.06,462,0.36,Nova,14900
LFM2 8B A1B,33k,Liquid AI,"11
E",0.0,0,0.0,LFM2,15000
Granite 4.0 H Small,128k,IBM,11,0.11,239,8.74,Granite,15100
Granite 4.0 Micro,128k,IBM,"11
E",0.0,0,0.0,Granite,15200
Phi-4 Mini,128k,Microsoft Azure,"11
E",0.0,45,0.31,Phi-4,15300
DeepHermes 3 - Mistral 24B,32k,Nous Research,"11
E",0.0,0,0.0,DeepHermes,15400
Llama 3.2 11B (Vision),128k,Meta,"11
E",0.16,71,0.38,Llama,15500
Qwen3 Omni 30B A3B,66k,Alibaba,11,0.43,89,0.94,Qwen3,15600
Qwen3 0.6B,32k,Alibaba,"11
E",0.4,200,0.89,Qwen3,15700
Gemma 3 27B,128k,Google,10,0.0,42,3.66,Gemma,15800
NVIDIA Nemotron Nano 12B v2 VL,128k,NVIDIA,10,0.3,126,0.55,NVIDIA,15900
Phi-4 Multimodal,128k,Microsoft Azure,"10
E",0.0,17,0.32,Phi-4,16000
Gemma 3n E2B,32k,Google,"10
E",0.0,41,0.37,Gemma,16100
Jamba 1.7 Large,256k,AI21 Labs,9,3.5,47,0.84,Jamba,16200
Molmo 7B-D,4k,Allen Institute for AI,"9
E",0.0,0,0.0,Molmo,16300
Gemma 3 12B,128k,Google,9,0.0,40,20.1,Gemma,16400
Gemma 3 1B,32k,Google,"9
E",0.0,37,0.51,Gemma,16500
Exaone 4.0 1.2B,64k,LG AI Research,8,0.0,0,0.0,Exaone,16600
Gemma 3 270M,32k,Google,"8
E",0.0,0,0.0,Gemma,16700
Exaone 4.0 1.2B,64k,LG AI Research,8,0.0,0,0.0,Exaone,16800
Granite 4.0 H 1B,128k,IBM,8,0.0,0,0.0,Granite,16900
Olmo 3 7B,66k,Allen Institute for AI,8,0.13,33,0.43,Olmo,17000
LFM2 2.6B,33k,Liquid AI,8,0.0,0,0.0,LFM2,17100
DeepHermes 3 - Llama-3.1 8B,128k,Nous Research,"8
E",0.0,0,0.0,DeepHermes,17200
Jamba 1.7 Mini,258k,AI21 Labs,7,0.25,124,0.63,Jamba,17300
Granite 4.0 1B,128k,IBM,7,0.0,0,0.0,Granite,17400
Granite 4.0 350M,33k,IBM,7,0.0,0,0.0,Granite,17500
Qwen3 1.7B,32k,Alibaba,7,0.19,116,0.9,Qwen3,17600
LFM2 1.2B,33k,Liquid AI,6,0.0,0,0.0,LFM2,17700
Gemma 3 4B,128k,Google,6,0.0,40,0.94,Gemma,17800
Gemma 3n E4B,32k,Google,6,0.03,59,0.38,Gemma,17900
Qwen3 0.6B,32k,Alibaba,6,0.19,188,0.89,Qwen3,18000
Granite 4.0 H 350M,33k,IBM,6,0.0,0,0.0,Granite,18100
DeepSeek-OCR,8k,DeepSeek,--,0.05,322,0.41,DeepSeek-OCR,18200
Grok Voice Agent,32k,xAI,--,0.0,0,0.0,Grok,18300
Olmo 3.1 32B Think,66k,Allen Institute for AI,--,0.0,60,0.54,Olmo,18400
Cogito v2.1,128k,Deep Cogito,--,1.25,74,0.38,Cogito,18500
Mi:dm K 2.5 Pro Preview,128k,Korea Telecom,--,0.0,0,0.0,Mi:dm,18600
Doubao-Seed-1.8,256k,ByteDance Seed,--,0.15,0,0.0,Doubao-Seed-1.8,18700
